epoch,lr,train_loss,train_pixel_acc,train_macro_f1,val_loss,val_pixel_acc,val_macro_f1,best_val_macro_f1,improved,val_Eagle_TP,val_Eagle_FP,val_Eagle_FN,val_Eagle_precision,val_Eagle_recall,val_Eagle_f1,val_Laptop_TP,val_Laptop_FP,val_Laptop_FN,val_Laptop_precision,val_Laptop_recall,val_Laptop_f1,val_Dog_TP,val_Dog_FP,val_Dog_FN,val_Dog_precision,val_Dog_recall,val_Dog_f1
1,0.0003,1.038477429321834,0.8189063323490203,0.28477885554062976,0.9019626266714456,0.8536183366871843,0.481929393487801,0.481929393487801,1,0,0,652202,0.0,0.0,0.0,1441473,600590,913346,0.7058905626320016,0.6121374933699762,0.6556796334599864,7718574,2189277,1911584,0.7790361401276616,0.8015002453749972,0.7901085470034166
2,0.0003,0.9421183499268123,0.8411764574807787,0.36469748000339913,0.9568014395409736,0.7964109848484848,0.4207893172698461,0.481929393487801,0,0,0,652202,0.0,0.0,0.0,1630836,841480,723983,0.6596389781888697,0.6925525910908623,0.675695205516028,4345598,838629,5284560,0.8382345140365172,0.4512488787826737,0.5866727462935103
3,0.0003,0.9167076284544808,0.8608968438042535,0.3988256093230323,0.9070685160332832,0.8575942530776515,0.417006426349638,0.481929393487801,0,0,0,652202,0.0,0.0,0.0,694040,198143,1660779,0.7779121547933464,0.2947317819331325,0.4274958829896802,8220558,2113642,1409600,0.7954711540322418,0.8536264929401981,0.823523396059234
4,0.0003,0.8926059636047908,0.8700097220284598,0.43243775556736286,0.8569792673207711,0.8713099500868056,0.5078459716566424,0.5078459716566424,1,0,0,652202,0.0,0.0,0.0,1526513,417931,828306,0.7850640080146264,0.6482506723446658,0.7101277541521717,8143791,2249875,1486367,0.7835340292828337,0.8456549726390774,0.8134101608177553
5,0.0003,0.8928567045075553,0.8672188023158482,0.4338646135724648,0.8587711963100709,0.8700263375946969,0.49880355536280224,0.5078459716566424,0,169,8,652033,0.954802259833062,0.00025912217380504417,0.0005181037348856264,1389974,401538,964845,0.7758664189801644,0.5902678719680766,0.6704597340759765,8572004,2567557,1058154,0.7695100372447345,0.8901208059099334,0.8254328282775447
6,0.0003,0.8402108122621263,0.8858475070529513,0.5355195957033722,0.8957856954007909,0.8610099037247475,0.6529253696134993,0.6529253696134993,1,318827,43101,333375,0.8809127782321102,0.48884701365527106,0.6287694825562428,921834,323148,1432985,0.7404396208137889,0.391467029950071,0.5121583064485583,8162260,2167909,1467898,0.7901380897059858,0.8475728020246388,0.817848319835697
7,0.0003,0.846464091198785,0.8815998137943328,0.5487270069007745,0.8372683957003165,0.8717847172900883,0.5350489383546209,0.6529253696134993,0,22497,42334,629705,0.3470099180946851,0.0344939144620833,0.06275024834367944,1566257,459595,788562,0.773134957538849,0.6651284026500522,0.7150762927003991,8786948,2824844,843210,0.7567262658511272,0.912440688927429,0.8273202740197841
8,0.0003,0.8045474178450448,0.8927127753363715,0.6076335947556064,0.8807994287083114,0.8461160925662878,0.5291198423458552,0.6529253696134993,0,467891,738312,184311,0.38790402610505537,0.7174019705551238,0.503540397025255,404171,15175,1950648,0.9638126988214752,0.17163569684124272,0.2913820889820364,7641516,2014441,1988642,0.7913784205956998,0.7934985075011223,0.7924370410302741
9,0.0003,0.7708219460078648,0.9047785198877728,0.6588886638371068,0.8117197790871495,0.8714425505050505,0.673622841203073,0.673622841203073,1,466571,523610,185631,0.4711976901192765,0.7153780577183033,0.5681634503863168,1272229,353451,1082590,0.7825826730967916,0.540266152090668,0.639230905664165,7630319,1499354,1999839,0.8357713359503667,0.7923358059130486,0.8134741675587372
10,0.0003,0.7523462058816637,0.9082449001736111,0.6687284276320037,0.8019681853660638,0.8805301057449495,0.7369340725412924,0.7369340725412924,1,446116,111804,206086,0.7996056782334241,0.6840150750840892,0.7373074731193245,1164972,160579,1189847,0.8788586783910927,0.49471827771051413,0.6330733005207045,8739288,2427948,890870,0.7825829059222884,0.9074916527849275,0.8404214439838482
