epoch,lr,train_loss,train_pixel_acc,train_macro_f1,val_loss,val_pixel_acc,val_macro_f1,best_val_macro_f1,improved,val_Eagle_TP,val_Eagle_FP,val_Eagle_FN,val_Eagle_precision,val_Eagle_recall,val_Eagle_f1,val_Laptop_TP,val_Laptop_FP,val_Laptop_FN,val_Laptop_precision,val_Laptop_recall,val_Laptop_f1,val_Dog_TP,val_Dog_FP,val_Dog_FN,val_Dog_precision,val_Dog_recall,val_Dog_f1
1,0.0003,1.6342951219422477,0.7228819396003844,0.3053062868127807,1.442199825376704,0.7046181541982324,0.42230633126569767,0.42230633126569767,1,1355,41708,650847,0.03146552725076482,0.002077577192342218,0.003897793204151631,1891397,2013363,463422,0.4843823948206792,0.803202708998013,0.6043208290239657,9311128,9329923,319030,0.49949587069956486,0.9668717792584495,0.6587003715689758
2,0.0003,1.4345583294119153,0.7624077351888021,0.401384621940551,1.4993648045304893,0.7496242947048611,0.4944615270312836,0.4944615270312836,1,350778,935473,301424,0.2727134906017545,0.5378364371774307,0.3619153992099287,1353759,2975124,1001060,0.31272709380225727,0.5748887706443656,0.4050925623998092,7783595,4316702,1846563,0.6432565250257902,0.8082520556775904,0.716376619484113
3,0.0003,1.4198251601627896,0.7709535871233258,0.399022423947273,1.1946671233660933,0.8212462269176136,0.5892171415521099,0.5892171415521099,1,490925,1922393,161277,0.2034232537941531,0.7527192495576408,0.32028823486101116,1853559,1367819,501260,0.5753932012945995,0.7871343827275015,0.6648111558455221,7861526,2600337,1768632,0.7514460856541509,0.8163444462697281,0.7825520339497964
4,0.0003,1.32298467704228,0.7977047002883184,0.4536962969327794,1.2878269700036533,0.8020694986979167,0.5947179097805717,0.5947179097805717,1,370436,913834,281766,0.288440904171239,0.5679774057730493,0.3825885379954749,1736362,1143314,618457,0.6029713064942007,0.7373653771266466,0.6634305647613852,8315001,4584609,1315157,0.6445932086318884,0.8634334971451135,0.738134626584855
5,0.0003,1.257364492586681,0.8203209480406746,0.5096331512957778,1.3096291690632917,0.78642333984375,0.547815754120183,0.5947179097805717,0,518409,2484555,133793,0.1726324391501191,0.7948595680479239,0.28365824952503954,1813960,1274788,540859,0.5872800241392286,0.7703182282799622,0.6664600570318896,6945123,3458854,2685035,0.6675450166796787,0.7211847406864969,0.69332895580362
6,0.0003,1.208807921579906,0.8326422894190229,0.5317840226136609,1.4442439511202383,0.8438952760022096,0.5209137274083897,0.5947179097805717,0,34768,18950,617434,0.6472318403513446,0.0533086375080105,0.09850407837629335,1681497,955144,673322,0.6377421120281426,0.7140663465005136,0.6737495592716854,8166317,2864994,1463841,0.7402852661845898,0.8479940827554431,0.7904875445771904
7,0.0003,1.165558259998049,0.8483032856290302,0.5757471274222311,1.1025106561356697,0.8248568941366793,0.7241336878147528,0.7241336878147528,1,508744,305167,143458,0.6250609710398235,0.7800405395874165,0.6940037996788802,1781033,938725,573786,0.6548498064901339,0.7563354126155737,0.7019434279464722,9292051,5012378,338107,0.6495925842268848,0.9648908148755182,0.7764538358189063
8,0.0003,1.178672940816198,0.8477056594122023,0.5507943419948756,1.6581581537274346,0.6665609710385101,0.3997615793873333,0.7241336878147528,0,582010,8532215,70192,0.06385732193357081,0.8923769016347559,0.11918585863868524,1177837,996749,1176982,0.5416373507417019,0.5001815426153752,0.5200846418875822,4619308,2247643,5010850,0.672686902819023,0.4796710500492303,0.5600142376357324
9,0.0003,1.1452931439876557,0.8467228044782366,0.5729514778533303,1.278039504652438,0.8214099491003788,0.6220982112158301,0.7241336878147528,0,473520,945146,178682,0.3337783523394489,0.7260327321903225,0.4573154788543059,1873266,1564738,481553,0.5448702212097469,0.7955031788005754,0.6467540907168375,7951155,3281698,1679003,0.7078482198600831,0.8256515625184958,0.7622250640763467
10,0.0003,1.10720822930336,0.8607018849206349,0.6116791380310576,1.102126269236855,0.8665638070154672,0.7093053978117873,0.7241336878147528,0,520779,610581,131423,0.46031236741620296,0.798493411550397,0.583976330357909,1985645,1038623,369174,0.6565704494442931,0.8432261672765473,0.738283276236493,7932181,2128882,1697977,0.7884038694519647,0.8236812937025532,0.8056565868409596
